,ZillowIndexDate,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31
0,Grand Junction,198799.0,199310.0,200019.0,201217.0,202646.0,204359.0,205473.0,206380.0,206262.0,206089.0,205870.0,206833.0,207880.0,209869.0,211034.0,211992.0,212139.0,212916.0,213944.0,215920.0,218233.0,220603.0,222086.0,223540.0,225192.0,226491.0,228003.0,230500.0,233188.0,235259.0,236605.0,237748.0,238510.0,239802.0,241570.0,243382.0,244047.0,243733.0,244346.0,245302.0,247668.0,249012.0,250388.0,251455.0,253659.0,254944.0,256346.0,257011.0,258972.0,261728.0,263850.0,265254.0,265653.0,267109.0,268958.0,271020.0,272388.0,274229.0
1,Durango,411882.0,414127.0,416453.0,417390.0,418687.0,420459.0,421860.0,423862.0,425253.0,426367.0,427304.0,428368.0,429901.0,430896.0,431981.0,432396.0,434021.0,434782.0,436230.0,437732.0,440280.0,442569.0,443009.0,443779.0,445129.0,448558.0,451297.0,452749.0,450669.0,450275.0,450693.0,450267.0,447563.0,445752.0,448071.0,451556.0,454445.0,459675.0,463971.0,469642.0,470526.0,471410.0,469615.0,470044.0,470281.0,470208.0,468336.0,466058.0,463627.0,458854.0,455431.0,452199.0,454210.0,455794.0,458998.0,461168.0,464640.0,468360.0
2,Montrose,245491.0,246607.0,247718.0,248871.0,250000.0,251235.0,252248.0,253364.0,254300.0,255263.0,256259.0,257305.0,258517.0,259777.0,260936.0,261951.0,262817.0,263657.0,264641.0,265665.0,266972.0,268387.0,269957.0,271608.0,273066.0,274082.0,275094.0,276103.0,277346.0,278371.0,279246.0,280197.0,281046.0,281790.0,282916.0,284021.0,285180.0,285886.0,286619.0,287419.0,288428.0,289494.0,290612.0,291621.0,292518.0,292958.0,292710.0,292365.0,292482.0,293171.0,293896.0,294655.0,295222.0,295900.0,296638.0,297474.0,298473.0,299945.0
3,Steamboat Springs,560939.0,564109.0,567128.0,569070.0,571506.0,574420.0,577965.0,580990.0,583659.0,585892.0,588166.0,590276.0,592365.0,594536.0,596385.0,598744.0,599127.0,599507.0,599292.0,601089.0,603168.0,605871.0,609019.0,612934.0,616625.0,619825.0,623541.0,628239.0,634193.0,638309.0,641261.0,642455.0,643853.0,644005.0,645323.0,646523.0,648527.0,649647.0,651789.0,656011.0,663296.0,669084.0,673247.0,673894.0,674711.0,673048.0,670139.0,667033.0,665917.0,665992.0,665643.0,663852.0,660203.0,659121.0,660488.0,665465.0,670768.0,679042.0
4,Fort Morgan,163400.0,164399.0,165402.0,166433.0,167664.0,168931.0,170203.0,171484.0,172772.0,174037.0,175360.0,176740.0,177990.0,179299.0,180496.0,181830.0,183031.0,184386.0,185677.0,187073.0,188518.0,190082.0,191792.0,193534.0,195063.0,196565.0,198113.0,199679.0,201040.0,202163.0,203283.0,204513.0,205678.0,206657.0,207817.0,209002.0,210397.0,211420.0,212432.0,213381.0,214582.0,215695.0,216847.0,217880.0,218922.0,219881.0,220351.0,220740.0,221178.0,221864.0,222507.0,223101.0,223572.0,224132.0,224609.0,225033.0,225409.0,225858.0
5,Glenwood Springs,406115.0,406666.0,409412.0,414240.0,416560.0,416690.0,417280.0,419976.0,424495.0,431344.0,435713.0,439599.0,442350.0,443669.0,445013.0,445262.0,450180.0,456621.0,463169.0,468047.0,470187.0,471848.0,474520.0,479967.0,485818.0,492133.0,495315.0,497725.0,498656.0,500786.0,502133.0,501876.0,502061.0,500902.0,502406.0,501605.0,499990.0,497374.0,497692.0,501998.0,505440.0,507446.0,507143.0,508869.0,510467.0,512842.0,512644.0,512752.0,514379.0,516850.0,518663.0,518100.0,518133.0,518600.0,521389.0,523836.0,526842.0,530049.0
6,Fruita,228993.0,229170.0,229727.0,231090.0,232667.0,234902.0,236342.0,237193.0,236527.0,235839.0,235267.0,236101.0,237468.0,239941.0,241558.0,242752.0,242960.0,243898.0,245093.0,247544.0,250285.0,253110.0,255038.0,257032.0,259399.0,261208.0,263210.0,266538.0,270011.0,272749.0,274291.0,275739.0,276920.0,278753.0,281095.0,283232.0,283942.0,283635.0,284445.0,285477.0,287937.0,288984.0,290342.0,291458.0,294097.0,295526.0,296913.0,297551.0,299660.0,302666.0,304917.0,306412.0,306966.0,308915.0,311301.0,313734.0,315148.0,317210.0
7,Pagosa Springs,274869.0,276478.0,277970.0,278554.0,279700.0,280795.0,281909.0,282798.0,283851.0,284851.0,286147.0,287502.0,286420.0,285456.0,284558.0,286227.0,287584.0,288885.0,290221.0,291791.0,293492.0,295410.0,297400.0,299649.0,302309.0,304792.0,307257.0,309049.0,310547.0,312201.0,313512.0,315324.0,316545.0,317489.0,318736.0,320050.0,321928.0,323353.0,324732.0,326034.0,327572.0,328871.0,330260.0,331349.0,332494.0,333587.0,334055.0,334419.0,334725.0,335431.0,336147.0,336724.0,337292.0,337945.0,338652.0,339256.0,340053.0,340962.0
8,Breckenridge,523905.0,528645.0,535439.0,542180.0,548413.0,551527.0,554870.0,557674.0,561190.0,565898.0,572329.0,579386.0,584588.0,587078.0,589886.0,593891.0,600400.0,607226.0,614364.0,621790.0,629725.0,637471.0,645105.0,651169.0,657499.0,665544.0,674720.0,684043.0,691481.0,698873.0,705108.0,709796.0,713136.0,716502.0,722331.0,726925.0,731508.0,736260.0,742259.0,747448.0,749255.0,750298.0,751984.0,752638.0,752345.0,752890.0,753780.0,756936.0,758367.0,759397.0,758712.0,758317.0,760912.0,764154.0,767377.0,772123.0,778143.0,783510.0
9,Aspen,1725493.0,1737354.0,1746681.0,1754904.0,1762836.0,1772869.0,1780451.0,1786817.0,1791261.0,1799232.0,1810596.0,1820168.0,1826343.0,1832393.0,1840009.0,1847651.0,1854546.0,1864203.0,1874545.0,1887002.0,1898299.0,1910560.0,1921903.0,1934566.0,1945517.0,1955752.0,1966137.0,1976133.0,1986760.0,1990332.0,1993171.0,1993371.0,1997657.0,2003252.0,2014104.0,2025485.0,2035311.0,2040580.0,2045506.0,2049656.0,2051283.0,2056153.0,2059370.0,2066107.0,2068734.0,2071712.0,2068376.0,2064519.0,2063593.0,2066913.0,2070502.0,2075267.0,2082096.0,2089496.0,2098796.0,2106824.0,2117058.0,2126968.0
